David,Beazley,"David Beazley is an independent software developer and book author living in the city of Chicago. He primarily works on programming tools, provide custom software development, and teach practical programming courses for software developers, scientists, and engineers. He is best known for his work with the Python programming language, for which he has created several open-source packages (e.g., Swig and PLY) and authored the acclaimed Python Essential Reference. He also has significant experience with systems programming in C, C++, and assembly language. Brian K. Jones is a system administrator in the department of computer science at Princeton University."
Kyle,Simpson,"Kyle Simpson is an Open Web Evangelist from Austin, TX. He's passionate about JavaScript, HTML5, real-time/peer-to-peer communications, and web performance. Otherwise, he's probably bored by it. Kyle is an author, workshop trainer, tech speaker, and avid OSS community member."
Kathy,Sierra,"Kathy Sierra is a co-developer of the SCJP exam and Sun's practice exam. She is also a Sun Certified Java Instructor and the founder of the world's largest Java certification website, Javaranch.com.Bert Bates is a Sun Certified Programmer for Java and has participated in the development of the SCJP exam and Sun's practice exam. He is the coauthor, with Kathy Sierra, of the previous editions of this book."
Stoyan,Stefanov,"Stoyan Stefanov is a Yahoo! web developer, Zend Certified Engineer, book author ('Object-Oriented JavaScript'), book contributor ('Even Faster Web Sites', 'High-Performance JavaScript'), and technical reviewer ('JavaScript: the Good Parts', 'PHP Mashups'). He speaks regularly about JavaScript, PHP, and other web development topics at conferences and his blog www.phpied.com. Stoyan is the creator of the smush.it image optimization tool and architect of Yahoo's performance optimization tool YSlow 2.0."
Bjarne,Stroustrup,"Bjarne Stroustrup (www.stroustrup.com) is the designer and original implementer of C++, as well as the author of Programming: Principles and Practice Using C++ (Addison-Wesley, 2009), The C++ Programming Language (Addison-Wesley, 1985, 1991, 1997, 2000, 2013), and many popular and academic publications. Dr. Stroustrup is a University Distinguished Professor at Texas A&M University and the holder of the College of Engineering Chair in Computer Science. He is a member of the U.S. National Academy of Engineering, an IEEE Fellow, and an ACM fellow. His research interests include distributed systems, design, programming techniques, software development tools, and programming languages. He is actively involved in the ISO standardization of C++."
Camille,Fournier,"Camille Fournier is an experienced leader with the unique combination of deep technical expertise, executive leadership, and engineering management"
Eric,Enge,"Eric Enge is the founder and CEO of SEO consulting firm, Stone Temple Consulting, and is widely recognized as an expert on the topic of SEO. Stephan Spencer is author of Google Power Search, founder of the SEO firm Netconcepts (acquired by Covario) and of the SEO training/coaching program ScienceofSEO.com, and inventor of the SEO technology platform GravityStream. Jessie Stricchiola is the founder of Alchemist Media, Inc., a San Francisco search engine marketing company."
Stephan,Spencer,"Eric Enge is the founder and CEO of SEO consulting firm, Stone Temple Consulting, and is widely recognized as an expert on the topic of SEO. Stephan Spencer is author of Google Power Search, founder of the SEO firm Netconcepts (acquired by Covario) and of the SEO training/coaching program ScienceofSEO.com, and inventor of the SEO technology platform GravityStream. Jessie Stricchiola is the founder of Alchemist Media, Inc., a San Francisco search engine marketing company."
Jim,Blandy,"Jim Blandy has been programming since 1981, and writing Free software since 1990. He has been the maintainer of GNU Emacs and GNU Guile, and a maintainer of GDB, the GNU Debugger. He is one of the original designers of the Subversion version control system. Jim now works on Firefox's web developer tools for Mozilla."
Robert,Sedgewick,"Robert Sedgewick has been a Professor of Computer Science at Princeton University since 1985, where he was the founding Chairman of the Department of Computer Science. He has held visiting research positions at Xerox PARC, Institute for Defense Analyses, and INRIA, and is member of the board of directors of Adobe Systems. Professor Sedgewick's research interests include analytic combinatorics, design and analysis of data structures and algorithms, and program visualization. His landmark book, Algorithms, now in its fourth edition, has appeared in numerous versions and languages over the past thirty years. In addition, with Kevin Wayne, he is the coauthor of the highly acclaimed textbook, Introduction to Programming in Java: An Interdisciplinary Approach (Addison-Wesley, 2008). Kevin Wayne is the Phillip Y. Goldman Senior Lecturer in Computer Science at Princeton University, where he has been teaching since 1998. He received a Ph.D. in operations research and industrial engineering from Cornell University. His research interests include the design, analysis, and implementation of algorithms, especially for graphs and discrete optimization. With Robert Sedgewick, he is the coauthor of the highly acclaimed textbook, Introduction to Programming in Java: An Interdisciplinary Approach (Addison-Wesley, 2008)."
James,Robertson,"Suzanne Robertson and James Robertson have, over many years, helped hundreds of companies improve their requirements techniques and move into the fast lane of system development. Their courses and seminars on requirements, analysis, and design are widely praised for their innovative approach. The Robertsons are principals of the Atlantic Systems Guild, a well-known consultancy specializing in the human dimensions of complex system building. They are also the coauthors of Requirements-Led Project Management (Addison-Wesley, 2005). James Robertson and Suzanne Robertson have, over many years, helped hundreds of companies improve their requirements techniques and move into the fast lane of system development. Their courses and seminars on requirements, analysis, and design are widely praised for their innovative approach. The Robertsons are principals of the Atlantic Systems Guild, a well-known consultancy specializing in the human dimensions of complex system building. They are also the coauthors of Requirements-Led Project Management (Addison-Wesley, 2005)."
Jeremy,Narby,"Jeremy Narby, Ph.D. is the author of The Cosmic Serpent: DNA and the Origins of Knowledge. He lives in Switzerland."
Chris,Solarski,"Chris Solarski received a BA in Computer Animation and is also a clasically trained artist. He works as the Creative Director at a social-gaming design company Gbanga. He has also worked for Sony Computer, in their London offices."
Elisabeth,Robson,"Elisabeth Robson researches new technologies at the Walt Disney Internet Group, focusing most recently on Digital Rights Management, content standards, new media formats, and video on demand over the Internet. Eric T Freeman is a media company executive and co-author of two bestselling books: Head First Design Patterns and Head First HTML & CSS (both from O'Reilly Media). A computer scientist with a passion for media and software architectures, Eric has been an Apple programmer since the days of the Newton."
Kelsey,Hightower,"Kelsey Hightower has worn every hat possible throughout his career in tech, and enjoys leadership roles focused on making things happen and shipping software. Kelsey is a strong open source advocate focused on building simple tools that make people smile. When he is not slinging Go code, you can catch him giving technical workshops covering everything from programming to system administration. Brendan Burns is a Partner Architect in Microsoft Azure. Prior to Microsoft he worked at Google where he co-founded the Kubernetes project, built several cloud APIs and worked on websearch backends. Joe Beda is that CTO of Heptio, a startup focused on bringing Kubernetes to everyone. During his previous 10 year career at Google Joe co-founded Kuberntes and started Google Compute Engine, Google's cloud VM service."
Brendan,Burns,"Kelsey Hightower has worn every hat possible throughout his career in tech, and enjoys leadership roles focused on making things happen and shipping software. Kelsey is a strong open source advocate focused on building simple tools that make people smile. When he is not slinging Go code, you can catch him giving technical workshops covering everything from programming to system administration. Brendan Burns is a Partner Architect in Microsoft Azure. Prior to Microsoft he worked at Google where he co-founded the Kubernetes project, built several cloud APIs and worked on websearch backends. Joe Beda is that CTO of Heptio, a startup focused on bringing Kubernetes to everyone. During his previous 10 year career at Google Joe co-founded Kuberntes and started Google Compute Engine, Google's cloud VM service."
