"Natural Language Processing with Python","This book offers a highly accessible introduction to natural language processing, the field that supports a variety of language technologies, from predictive text and email filtering to automatic summarization and translation. With it, you'll learn how to write Python programs that work with large collections of unstructured text. You'll access richly annotated datasets using a comprehensive range of linguistic data structures, and you'll understand the main algorithms for analyzing the content and structure of written communication. Packed with examples and exercises, Natural Language Processing with Python will help you: * Extract information from unstructured text, either to guess the topic or identify ""named entities"" * Analyze linguistic structure in text, including parsing and semantic analysis * Access popular linguistic databases, including WordNet and treebanks * Integrate techniques drawn from fields as diverse as linguistics and artificial intelligence This book will help you gain practical skills in natural language processing using the Python programming language and the Natural Language Toolkit (NLTK) open source library. If you're interested in developing web applications, analyzing multilingual news sources, or documenting endangered languages -- or if you're simply curious to have a programmer's perspective on how human language works -- you'll find Natural Language Processing with Python both fascinating and immensely useful.",23.92,Paperback,7,9.2,1.2,2009,9780596516499.jpg
"Windows Internals, Part 1 : System architecture, processes, threads, memory management, and more","The definitive guide-fully updated for Windows 10 and Windows Server 2016 Delve inside Windows architecture and internals, and see how core components work behind the scenes. Led by a team of internals experts, this classic guide has been fully updated for Windows 10 and Windows Server 2016.Whether you are a developer or an IT professional, you'll get critical, insider perspectives on how Windows operates. And through hands-on experiments, you'll experience its internal behavior firsthand-knowledge you can apply to improve application design, debugging, system performance, and support. This book will help you:* Understand the Window system architecture and its most important entities, such as processes and threads* Examine how processes manage resources and threads scheduled for execution inside processes* Observe how Windows manages virtual and physical memory* Dig into the Windows I/O system and see how device drivers work and integrate with the rest of the system* Go inside the Windows security model to see how it manages access, auditing, and authorization, and learn about the new mechanisms in Windows 10 and Server 2016",37.03,Paperback,5.91,9.84,0.59,2017,9780735684188.jpg
"Learning SQL","Updated for the latest database management systems -- including MySQL 6.0, Oracle 11g, and Microsoft's SQL Server 2008 -- this introductory guide will get you up and running with SQL quickly. Whether you need to write database applications, perform administrative tasks, or generate reports, Learning SQL, Second Edition, will help you easily master all the SQL fundamentals. Each chapter presents a self-contained lesson on a key SQL concept or technique, with numerous illustrations and annotated examples. Exercises at the end of each chapter let you practice the skills you learn. With this book, you will: * Move quickly through SQL basics and learn several advanced features * Use SQL data statements to generate, manipulate, and retrieve data * Create database objects, such as tables, indexes, and constraints, using SQL schema statements * Learn how data sets interact with queries, and understand the importance of subqueries * Convert and manipulate data with SQL's built-in functions, and use conditional logic in data statements Knowledge of SQL is a must for interacting with data. With Learning SQL, you'll quickly learn how to put the power and flexibility of this language to work.",24.03,Paperback,07.01,09.06,0.79,2009,9780596520830.jpg
"Intelligence in Nature","Continuing the journey begun in his acclaimed book The Cosmic Serpent, the noted anthropologist ventures firsthand into both traditional cultures and the most up-todate discoveries of contemporary science to determine nature's secret ways of knowing. Anthropologist Jeremy Narby has altered how we understand the Shamanic cultures and traditions that have undergone a worldwide revival in recent years. Now, in one of his most extraordinary journeys, Narby travels the globe-from the Amazon Basin to the Far East-to probe what traditional healers and pioneering researchers understand about the intelligence present in all forms of life. Intelligence in Nature presents overwhelming illustrative evidence that independent intelligence is not unique to humanity alone. Indeed, bacteria, plants, animals, and other forms of nonhuman life display an uncanny penchant for self-deterministic decisions, patterns, and actions. Narby presents the first in-depth anthropological study of this concept in the West. He not only uncovers a mysterious thread of intelligent behavior within the natural world but also probes the question of what humanity can learn from nature's economy and knowingness in its own search for a saner and more sustainable way of life.",12.1,Paperback,5.51,8.19,0.71,2006,9781585424610.jpg
"Head First PMP","Learn the latest principles and certification objectives in The PMBOK Guide, Fifth Edition, in a unique and inspiring way with Head First PMP. The third edition of this book helps you prepare for the PMP certification exam using a visually rich format designed for the way your brain works. You'll find a full-length sample exam included inside the book. More than just proof of passing a test, a PMP certification means that you have the knowledge to solve most common project problems. But studying for a difficult four-hour exam on project management isn't easy, even for experienced project managers. Drawing on the latest research in neurobiology, cognitive science, and learning theory, Head First PMP offers you a multi-sensory experience that helps the material stick, not a text-heavy approach that puts you to sleep.This book will help you: Learn PMP's underlying concepts to help you understand the PMBOK principles and pass the certification exam with flying colors Get 100% coverage of the latest principles and certification objectives in The PMBOK Guide, Fifth Edition Make use of a thorough and effective preparation guide with hundreds of practice questions and exam strategies Explore the material through puzzles, games, problems, and exercises that make learning easy and entertaining Head First PMP puts project management principles into context to help you understand, remember, and apply them - not just on the exam, but also on the job.",38.9,Paperback,7.8,9.2,1.9,2014,9781449364915.jpg
"DK Workbooks: Computer Coding","Take kids from browsing to building with DK Workbooks: Computer Coding. Created for children ages 6-9, this highly visual workbook builds basic programming skills using Python, a free computer coding program and language available for download. Perfect for beginner coders, DK Workbooks: Computer Coding explains how computer coding works and teaches kids how to complete simple coding actions with clear, step-by-step instructions and fun pixel art. All they need is a desktop or laptop, and an internet connection to download Python 3. From creating lists to solving math problems to controlling a robot in a maze, young coders will learn how to think like a computer. Kids can even test their coding knowledge with written quizzes at the end of each section and a glossary at the back of the book. Supporting STEM education initiatives, computer coding teaches kids how to think creatively, work collaboratively, and reason systematically, and is quickly becoming a necessary and sought-after skill. DK's computer coding books are full of fun exercises with step-by-step guidance, making them the perfect introductory tools for building vital skills in computer programming.",6.13,Paperback,8.43,10.79,0.31,2014,9781465426857.jpg
"Rules of Play : Game Design Fundamentals","An impassioned look at games and game design that offers the most ambitious framework for understanding them to date.As pop culture, games are as important as film or television -- but game design has yet to develop a theoretical framework or critical vocabulary. In Rules of Play Katie Salen and Eric Zimmerman present a much-needed primer for this emerging field. They offer a unified model for looking at all kinds of games, from board games and sports to computer and video games. As active participants in game culture, the authors have written Rules of Play as a catalyst for innovation, filled with new concepts, strategies, and methodologies for creating and understanding games. Building an aesthetics of interactive systems, Salen and Zimmerman define core concepts like ""play,"" ""design,"" and ""interactivity."" They look at games through a series of eighteen ""game design schemas,"" or conceptual frameworks, including games as systems of emergence and information, as contexts for social play, as a storytelling medium, and as sites of cultural resistance.Written for game scholars, game developers, and interactive designers, Rules of Play is a textbook, reference book, and theoretical guide. It is the first comprehensive attempt to establish a solid theoretical framework for the emerging discipline of game design.",49.41,Hardback,8.1,9.1,1.4,2011,9780262240451.jpg
"Microsoft Flight Simulator X for Pilots : Real World Training","Get ready to take flight as two certified flight instructors guide you through the pilot ratings as it is done in the real world, starting with Sport Pilot training, then Private Pilot, followed by the Instrument Rating, Commercial Pilot, and Air Transport Pilot. They cover the skills of flight, how to master Flight Simulator, and how to use the software as a learning tool towards your pilot's license. More advanced topics demonstrate how Flight Simulator X can be used as a continuing learning tool and how to simulate real-world emergencies.",20.55,"Mixed media product",7.3,9.3,1.7,2007,9780764588228.jpg
"Think Python, 2e","If you want to learn how to program, working with Python is an excellent way to start. This hands-on guide takes you through the language a step at a time, beginning with basic programming concepts before moving on to functions, recursion, data structures, and object-oriented design. This second edition and its supporting code have been updated for Python 3. Through exercises in each chapter, you'll try out programming concepts as you learn them. Think Python is ideal for students at the high school or college level, as well as self-learners, home-schooled students, and professionals who need to learn programming basics. Beginners just getting their feet wet will learn how to start with Python in a browser. Start with the basics, including language syntax and semantics Get a clear definition of each programming concept Learn about values, variables, statements, functions, and data structures in a logical progression Discover how to work with files and databases Understand objects, methods, and object-oriented programming Use debugging techniques to fix syntax, runtime, and semantic errors Explore interface design, data structures, and GUI-based programs through case studies",27.85,Paperback,07.09,9.25,0.59,2015,9781491939369.jpg
"Scratch Coding Cards","Want to introduce kids to coding in a fun and creative way? With the Scratch Coding Cards, kids learn to code as they create interactive games, stories, music, and animations. The short-and-simple activities provide an inviting entry point into Scratch, the graphical programming language used by millions of kids around the world. Kids can use this colorful 75-card deck to create a variety of interactive programming projects. They'll create their own version of Pong, Write an Interactive Story, Create a Virtual Pet, Play Hide and Seek, and more! Each card features step-by-step instructions for beginners to start coding with Scratch. The front of the card shows an activity kids can do with Scratch--like animating a character or keeping score in a game. The back shows how to put together code blocks to make the projects come to life! Along the way, kids learn key coding concepts, such as sequencing, conditionals, and variables. This collection of coding activity cards is perfect for sharing among small groups in homes and schools. Uses Scratch 2",18.13,Paperback,5.39,7.4,1.54,2017,9781593277741.jpg
